,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도
2019-08-01,188,7922,2347,458,6,250,139,560,3752,,1,31,320,105,223,85,385
2019-08-02,236,8874,2521,521,6,265,130,734,4195,,1,42,416,125,234,126,446
2019-08-03,264,10388,2826,553,9,276,149,732,5333,,,50,355,190,253,158,397
2019-08-04,256,10956,3160,701,12,306,152,789,5530,,,69,391,254,248,179,441
2019-08-05,270,9565,2113,399,40,435,155,1004,4303,,,87,372,471,212,266,376
2019-08-06,269,9340,2405,341,36,325,125,1227,4217,,,82,317,522,252,251,336
2019-08-07,218,8897,2215,481,52,347,125,963,4112,,1,73,278,591,314,264,376
2019-08-08,303,9218,1933,592,43,379,126,1060,4296,24,2,84,316,679,195,192,346
2019-08-09,472,11563,2231,1313,62,814,140,1305,5784,19,,286,371,703,248,386,368
2019-08-10,303,12607,2518,1399,8,281,153,1088,5218,3,,62,376,742,303,379,409
2019-08-11,333,14131,3169,1435,14,302,190,1365,6083,5,,65,489,859,297,483,532
2019-08-12,189,9335,1756,1027,9,202,129,770,3459,4,,30,377,775,237,373,332
2019-08-13,214,9146,2252,1046,8,188,122,905,3339,1,,23,368,711,233,334,387
2019-08-14,194,10151,2229,1247,13,225,142,1013,3808,1,,33,318,875,227,402,361
2019-08-15,437,13441,2970,1848,20,439,156,1492,5479,3,3,53,376,1161,316,438,520
2019-08-16,277,9351,2072,1150,16,231,147,1010,3885,4,2,21,409,944,252,372,413
2019-08-17,296,10733,2463,1312,33,274,171,1122,4534,2,1,47,297,927,247,462,446
2019-08-18,298,10841,2528,1282,27,273,136,1244,4684,2,2,48,318,901,261,449,452
2019-08-19,215,7213,1682,891,14,195,138,690,2902,3,2,24,784,774,204,325,282
2019-08-20,183,7405,1963,928,50,176,107,770,3116,4,1,14,741,677,316,397,271
2019-08-21,189,7821,2242,940,19,157,151,911,3173,4,3,15,857,857,306,428,324
2019-08-22,213,7554,2046,1006,21,211,100,841,3087,2,3,21,775,775,250,406,328
2019-08-23,233,8936,2120,1158,14,203,143,968,3582,5,1,27,901,996,237,451,312
2019-08-24,297,10592,2267,1249,21,276,152,1054,4527,2,2,38,971,1014,340,540,355
2019-08-25,314,11651,2926,1266,19,271,166,1224,4911,3,,39,1023,1213,307,498,438
2019-08-26,225,7337,1678,898,22,156,151,718,2951,4,,15,821,914,353,370,283
2019-08-27,121,7480,2102,1013,20,205,154,961,3040,1,2,13,909,710,408,429,343
2019-08-28,110,7720,1980,994,17,186,112,882,3171,1,,26,834,813,405,443,318
2019-08-29,187,8200,1944,1037,7,178,134,944,3635,1,,29,834,706,298,485,312
2019-08-30,205,9653,2213,1312,10,240,143,1069,3913,1,,28,945,954,325,465,351
2019-08-31,279,10719,2500,1339,19,301,165,1085,4416,1,,50,1041,1074,431,503,361
